business_postal_code,population ,avg_income,inspection_id,inspection_date,inspection_score,risk_category,Neighborhoods,Current Police Districts
94127,20624,95313,3659_20181011,October,98.0,Low Risk,46.0,10.0
94127,20624,95313,587_20181203,December,70.0,High Risk,46.0,10.0
94127,20624,95313,17723_20180222,February,84.0,Moderate Risk,117.0,9.0
94127,20624,95313,5819_20171108,November,96.0,Low Risk,72.0,9.0
94127,20624,95313,37482_20180222,February,92.0,Low Risk,46.0,10.0
94127,20624,95313,741_20180222,February,94.0,Moderate Risk,46.0,10.0
94127,20624,95313,60484_20180111,January,86.0,Low Risk,46.0,10.0
94127,20624,95313,19138_20170302,March,89.0,High Risk,68.0,10.0
94127,20624,95313,2808_20170621,June,81.0,Moderate Risk,67.0,10.0
94127,20624,95313,1700_20161116,November,89.0,Low Risk,46.0,10.0
94127,20624,95313,17723_20181212,December,69.0,Low Risk,117.0,9.0
94127,20624,95313,5797_20180208,February,98.0,Low Risk,63.0,10.0
94127,20624,95313,2808_20190710,July,70.0,Moderate Risk,67.0,10.0
94127,20624,95313,38798_20180807,August,92.0,Low Risk,95.0,9.0
94127,20624,95313,2808_20190103,January,74.0,Moderate Risk,67.0,10.0
94127,20624,95313,1963_20180924,September,96.0,Moderate Risk,46.0,10.0
94127,20624,95313,1702_20171130,November,73.0,High Risk,46.0,10.0
94127,20624,95313,1963_20171101,November,92.0,Moderate Risk,46.0,10.0
94127,20624,95313,2808_20190710,July,70.0,Low Risk,67.0,10.0
94127,20624,95313,4542_20171206,December,91.0,High Risk,46.0,10.0
94127,20624,95313,19138_20190204,February,82.0,Moderate Risk,68.0,10.0
94127,20624,95313,2808_20170621,June,81.0,Low Risk,67.0,10.0
94127,20624,95313,3678_20180725,July,96.0,Low Risk,72.0,9.0
94127,20624,95313,1950_20171115,November,90.0,Moderate Risk,46.0,10.0
94127,20624,95313,1702_20171130,November,73.0,Moderate Risk,46.0,10.0
94127,20624,95313,5797_20170209,February,92.0,Low Risk,63.0,10.0
94127,20624,95313,17723_20181212,December,69.0,Moderate Risk,117.0,9.0
94127,20624,95313,60484_20180111,January,86.0,Moderate Risk,46.0,10.0
94127,20624,95313,3260_20190422,April,98.0,Low Risk,68.0,10.0
94127,20624,95313,4539_20171101,November,92.0,Low Risk,46.0,10.0
94127,20624,95313,5796_20170209,February,87.0,High Risk,63.0,10.0
94127,20624,95313,3677_20170914,September,90.0,Moderate Risk,72.0,9.0
94127,20624,95313,587_20181203,December,70.0,Moderate Risk,46.0,10.0
94127,20624,95313,60484_20181101,November,81.0,Low Risk,46.0,10.0
94127,20624,95313,1700_20190128,January,96.0,Low Risk,46.0,10.0
94127,20624,95313,741_20190128,January,87.0,High Risk,46.0,10.0
